title,price,rating,link
Sony PlayStation®5 Digital Edition (slim),"39,990.",4.7 out of 5 stars,https://www.amazon.in/Sony-PlayStation%C2%AE5-Digital-Edition-slim/dp/B0CY5QW186/ref=sr_1_1?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-1
Sony PlayStation®5 Console (slim),"49,990.",4.3 out of 5 stars,https://www.amazon.in/Sony-CFI-2008A01X-PlayStation%C2%AE5-Console-slim/dp/B0CY5HVDS2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-2
Sony DualSense Wireless Controller White (PlayStation 5),"5,399.",4.4 out of 5 stars,https://www.amazon.in/Sony-CFI-ZCT1W-DualSense-wireless-controller/dp/B08GZ6QNTC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-3
Sony PlayStation®5 Console (slim) DualSense Wireless Controller Red (PlayStation 5),"55,689.",Previous page,https://www.amazon.in/Sony-PlayStation%C2%AE5-DualSense-Controller-PlayStation/dp/B0DJGPDHDH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-4
Rockstar Games PS5 Grand Theft Auto V,"1,899.",4.5 out of 5 stars,https://www.amazon.in/PS5-Grand-Theft-Auto-V/dp/B09XJ8FGVP/ref=sr_1_5?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-5
"Ant Esports Dock5 RGB with Cooling Fan and Dual Controller Charger Station, PS5 Console Disc & Digital Edition, PS5 Cooling Station Accessories with RGB Light/Headset Holder/6 Game Slots/Screw (White)","1,899.",4.2 out of 5 stars,https://www.amazon.in/Ant-Esports-Cooling-Controller-Accessories/dp/B0BRZZCRPW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-6
(Refurbished) Sony PlayStation®5 Console (slim),"49,390.",5.0 out of 5 stars,https://www.amazon.in/Refurbished-Sony-PlayStation%C2%AE5-Console-slim/dp/B0D21WGQGK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-7
"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","2,399.",3.6 out of 5 stars,https://www.amazon.in/Big-Ant-Studios-Standard-Playstation/dp/B0C1N2YPX6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-8
Sony PlayStation VR2 (PlayStation 5),"56,990.",3.5 out of 5 stars,https://www.amazon.in/Sony-PlayStation-VR2-5/dp/B0CPFLL79T/ref=sr_1_9?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-9
Sony PlayStation Portal Remote Player,"18,799.",4.5 out of 5 stars,https://www.amazon.in/Sony-PlayStation-Portal-Remote-Player/dp/B0DB26RWBY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-10
"PSS Faceplate For PS5 Disc edition, Side Plate for PS5, Replacement Shell Cover Plates for Playstation 5 CD Vesrion - Black","1,849.",4.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfbXRmOjMwMDM0MDEwMDU2MjczMjo6MDo6&url=%2FPSS-Faceplate-Replacement-Playstation-Vesrion%2Fdp%2FB0CLPBCXDJ%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"MrDeal Storage Bag for PS5, Carrying Case for PS5, Travel Bag for PS5, Carrying Case for PS5 Hard Shell, PS5 Travel Bag Waterproof and Shockproof Nylon Fabric","1,998.",4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfbXRmOjMwMDM0NzgwMjY0ODYzMjo6MDo6&url=%2FMrDeal-Storage-Carrying-Waterproof-Shockproof%2Fdp%2FB0963H9HZF%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"2,500.",4.7 out of 5 stars,https://www.amazon.in/Sony-Ragnarok-Standard-Game-PlayStation/dp/B0B6FGSKCQ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-13
